る,︽現跋,ń计_瞷Τ礟,ń计_め膟祅癘,綟计_瞷Τ礟,綟计_め膟祅癘,め计,计_璸,计_╧,计_
6る,羆璸,456,456,9588,9570,1060320,2624143,1249258,1374885
6る,猀,33,33,764,763,81062,202326,94578,107748
6る,獺竡,41,41,904,903,89130,217569,103308,114261
6る,,53,53,1026,1022,121457,305389,142104,163285
6る,い,42,42,871,869,100714,225712,104640,121072
6る,いタ,31,31,583,582,65731,156746,74656,82090
6る,,25,25,522,521,52049,125063,60551,64512
6る,窾地,36,36,725,724,79166,184897,90462,94435
6る,ゅ,43,43,1007,1004,107424,269927,129037,140890
6る,玭翠,20,20,455,455,47975,119716,58467,61249
6る,ず打,39,39,912,911,109606,284132,135371,148761
6る,狶,51,51,996,995,107984,280942,135306,145636
6る,щ,42,42,823,821,98022,251724,120778,130946
7る,羆璸,456,456,9589,9572,1060529,2620037,1247311,1372726
7る,猀,33,33,764,763,81065,201975,94420,107555
7る,獺竡,41,41,905,904,89116,217151,103077,114074
7る,,53,53,1026,1022,121448,304864,141837,163027
7る,い,42,42,871,869,100754,225511,104539,120972
7る,いタ,31,31,583,582,65713,156348,74473,81875
7る,,25,25,522,521,52007,124745,60465,64280
7る,窾地,36,36,725,724,79200,184545,90303,94242
7る,ゅ,43,43,1007,1004,107505,269537,128828,140709
7る,玭翠,20,20,455,455,47949,119544,58361,61183
7る,ず打,39,39,912,912,109677,283814,135230,148584
7る,狶,51,51,996,995,108013,280535,135092,145443
7る,щ,42,42,823,821,98082,251468,120686,130782
8る,羆璸,456,456,9589,9572,1061368,2615642,1245157,1370485
8る,猀,33,33,764,763,81035,201403,94101,107302
8る,獺竡,41,41,906,904,89132,216743,102870,113873
8る,,53,53,1026,1022,121420,304088,141527,162561
8る,い,42,42,871,869,100900,225321,104454,120867
8る,いタ,31,31,583,582,65782,156030,74308,81722
8る,,25,25,522,521,52045,124580,60366,64214
8る,窾地,36,36,724,724,79334,184296,90215,94081
8る,ゅ,43,43,1007,1004,107598,269156,128614,140542
8る,玭翠,20,20,455,455,48036,119413,58280,61133
8る,ず打,39,39,912,912,109817,283393,135039,148354
8る,狶,51,51,996,995,108098,280042,134821,145221
8る,щ,42,42,823,821,98171,251177,120562,130615
9る,羆璸,456,456,9589,9569,1062479,2610762,1242747,1368015
9る,猀,33,33,764,763,81055,200837,93797,107040
9る,獺竡,41,41,906,904,89178,216333,102691,113642
9る,,53,53,1026,1022,121488,303396,141227,162169
9る,い,42,42,871,869,101055,224942,104231,120711
9る,いタ,31,31,583,582,65855,155527,74080,81447
9る,,25,25,522,521,52114,124270,60205,64065
9る,窾地,36,36,724,723,79443,183985,90076,93909
9る,ゅ,43,43,1007,1002,107783,268848,128437,140411
9る,玭翠,20,20,455,455,48115,119206,58129,61077
9る,ず打,39,39,912,912,109961,283028,134872,148156
9る,狶,51,51,996,995,108196,279539,134581,144958
9る,щ,42,42,823,821,98236,250851,120421,130430
10る,羆璸,456,456,9588,9568,1061934,2608332,1241493,1366839
10る,猀,33,33,764,763,81031,200767,93749,107018
10る,獺竡,41,41,906,904,89082,216015,102546,113469
10る,,53,53,1026,1022,121364,303209,141137,162072
10る,い,42,42,871,869,101023,224707,104138,120569
10る,いタ,31,31,583,582,65820,155508,73997,81511
10る,,25,25,522,521,52090,124081,60123,63958
10る,窾地,36,36,724,723,79401,183633,89891,93742
10る,ゅ,43,43,1005,1001,107753,268657,128352,140305
10る,玭翠,20,20,455,455,48083,119036,58064,60972
10る,ず打,39,39,913,912,109940,282965,134826,148139
10る,狶,51,51,996,995,108180,279188,134375,144813
10る,щ,42,42,823,821,98167,250566,120295,130271
11る,羆璸,456,456,9588,9569,1061389,2605369,1240053,1365316
11る,猀,33,33,764,763,80982,200527,93667,106860
11る,獺竡,41,41,906,904,89034,215662,102365,113297
11る,,53,53,1026,1022,121245,302859,141001,161858
11る,い,42,42,871,869,100923,224372,103967,120405
11る,いタ,31,31,583,582,65784,155335,73935,81400
11る,,25,25,522,521,52111,123937,60065,63872
11る,窾地,36,36,724,723,79369,183344,89725,93619
11る,ゅ,43,43,1005,1002,107714,268450,128253,140197
11る,玭翠,20,20,455,455,48064,118934,57994,60940
11る,ず打,39,39,913,912,109879,282759,134719,148040
11る,狶,51,51,996,995,108169,278894,134212,144682
11る,щ,42,42,823,821,98115,250296,120150,130146
12る,羆璸,456,456,9589,9569,1061000,2602418,1238618,1363800
12る,猀,33,33,764,763,80954,200316,93573,106743
12る,獺竡,41,41,906,904,88952,215240,102171,113069
12る,,53,53,1026,1022,121152,302644,140899,161745
12る,い,42,42,871,869,100790,223876,103720,120156
12る,いタ,31,31,583,582,65795,155397,73952,81445
12る,,25,25,523,521,52132,123849,60026,63823
12る,窾地,36,36,724,723,79376,183088,89578,93510
12る,ゅ,43,43,1005,1002,107669,268130,128096,140034
12る,玭翠,20,20,455,455,48010,118758,57916,60842
12る,ず打,39,39,913,912,109891,282525,134624,147901
12る,狶,51,51,996,995,108148,278451,134007,144444
12る,щ,42,42,823,821,98131,250144,120056,130088
