編號,單位別,縣市別代碼,行政區域代碼,區別,地址,電話
28,第一分局大誠分駐所,10019,66000010,中區,臺中市中區成功路302號,(04)22221373
29,第一分局繼中派出所,10019,66000010,中區,臺中市西區中山路9號,(04)22224119
30,第二分局,10019,66000050,北區,臺中市北區太原路2段228號,(04)22351200
31,第二分局臺中公園派出所,10019,66000050,北區,臺中市北區雙十路1段65號,(04)22230097
32,第二分局永興派出所,10019,66000050,北區,臺中市北區太原路2段228號,(04)22352735
33,第二分局立人派出所,10019,66000050,北區,臺中市北區天津路1段2號,(04)22973545
34,第二分局育才派出所,10019,66000050,北區,臺中市北區三民路3段128號,(04)22223695
35,第二分局文正派出所,10019,66000050,北區,臺中市北區中正路440號,(04)22011252
36,第三分局,10019,66000030,南區,臺中市南區復興路3段157號,(04)22220498
37,第三分局東區分駐所,10019,66000020,東區,臺中市東區進化路16號,(04)22124179
38,第三分局正義派出所,10019,66000030,南區,臺中市南區復興路3段159號,(04)22223319
39,第三分局立德派出所,10019,66000020,東區,臺中市東區振興路6號,(04)22203248
40,第三分局合作派出所,10019,66000020,東區,臺中市東區力行路202號,(04)23602711
41,第三分局勤工派出所,10019,66000030,南區,臺中市南區復興路1段235號,(04)22612716
42,第三分局健康派出所,10019,66000030,南區,臺中市南區美村南路8號,(04)22634622
43,第四分局,10019,66000070,南屯區,臺中市南屯區向心南路811號,(04)23892110
44,第四分局大墩派出所,10019,66000070,南屯區,臺中市南屯區大墩路229號,(04)24724871
45,第四分局南屯派出所,10019,66000070,南屯區,臺中市南屯區黎明路1段1056號,(04)23824718
46,第四分局黎明派出所,10019,66000070,南屯區,臺中市南屯區干城街2號,(04)22528219
47,第四分局春社派出所,10019,66000070,南屯區,臺中市南屯區忠勇路23-5號,(04)23824719
48,第五分局,10019,66000080,北屯區,臺中市北屯區仁和里崇德路3段2號,(04)22427113
49,第五分局北屯派出所,10019,66000080,北屯區,臺中市北屯區北屯路106號,(04)22332712
50,第五分局松安派出所,10019,66000080,北屯區,臺中市北屯區松竹路2段5號,(04)22461750
51,第五分局四平派出所,10019,66000080,北屯區,臺中市北屯區昌平路2段63號,(04)24222714
52,第五分局文昌派出所,10019,66000080,北屯區,臺中市北屯區文昌東三街48號,(04)22377714
53,第五分局水湳派出所,10019,66000080,北屯區,臺中市北屯區中清路99號,(04)22979937
54,第五分局東山派出所,10019,66000080,北屯區,臺中市北屯區東山路2段30號,(04)22392713
55,第六分局,10019,66000060,西屯區,臺中市西屯區市政路456號,(04)22513284
56,第六分局西屯派出所,10019,66000060,西屯區,臺中市西屯區西屯路3段40號,(04)27012717
57,第六分局何安派出所,10019,66000060,西屯區,臺中市西屯區甘肅路106號,(04)23149343
58,第六分局市政派出所,10019,66000060,西屯區,臺中市西屯區市政路456號,(04)22513312
59,第六分局永福派出所,10019,66000060,西屯區,臺中市西屯區福科路372號,(04)24613009
60,第六分局協和派出所,10019,66000060,西屯區,臺中市西屯區臺中港路151號,(04)23593736
61,第六分局工業區派出所,10019,66000060,西屯區,臺中市西屯區工業區五路2-1號,(04)23596317
62,豐原分局,10019,66000090,豐原區,臺中市豐原區中山路225號,(04)25224684
63,豐原分局豐原派出所,10019,66000090,豐原區,臺中市豐原區西安街21號,(04)25228941
64,豐原分局頂街派出所,10019,66000090,豐原區,臺中市豐原區中正路5號,(04)25228150
65,豐原分局合作派出所,10019,66000090,豐原區,臺中市豐原區育英路52號,(04)25293134
66,豐原分局豐東派出所,10019,66000090,豐原區,臺中市豐原區豐東路162號,(04)25286917
67,豐原分局翁子派出所,10019,66000090,豐原區,臺中市豐原區豐勢路2段10號,(04)25275594
68,豐原分局馬岡派出所,10019,66000180,大雅區,臺中市大雅區雅潭路150號,(04)25662064
69,豐原分局神岡分駐所,10019,66000160,神岡區,臺中市神岡區神岡路121號,(04)25622422
70,豐原分局社口派出所,10019,66000160,神岡區,臺中市神岡區中正路516號,(04)25625392
71,豐原分局豐洲派出所,10019,66000160,神岡區,臺中市神岡區豐洲路489號,(04)25272585
72,大雅分局,10019,66000180,大雅區,臺中市大雅區中清東路226號,(04)25665216
73,大雅分局潭子分駐所,10019,66000170,潭子區,臺中市潭子區中山路2段241巷3號,(04)25348866
74,大雅分局潭北派出所,10019,66000170,潭子區,臺中市潭子區潭子街3段56號,(04)25361651
75,大雅分局頭家派出所,10019,66000170,潭子區,臺中市潭子區中山路1段150號,(04)25353818
76,大雅分局大雅分駐所,10019,66000180,大雅區,臺中市大雅區永興路168號,(04)25662054
77,大甲分局,10019,66000110,大甲區,臺中市大甲區文武路1號,(04)26872039
78,大甲分局大甲派出所,10019,66000110,大甲區,臺中市大甲區文武路1號,(04)26872047
79,大甲分局日南派出所,10019,66000110,大甲區,臺中市大甲區中山路2段165號,(04)26813700
80,大甲分局西岐派出所,10019,66000110,大甲區,臺中市大甲區順帆路94號,(04)26811320
81,大甲分局大安分駐所,10019,66000220,大安區,臺中市大安區中山南路300號,(04)26713320
82,大甲分局海墘派出所,10019,66000220,大安區,臺中市大安區大安港路1160號,(04)26875845
83,大甲分局外埔分駐所,10019,66000210,外埔區,臺中市外埔區六分路350號,(04)26832690
84,大甲分局安定派出所,10019,66000210,外埔區,臺中市外埔區土城路110號,(04)26831522
85,大甲分局月眉派出所,10019,66000150,后里區,臺中市后里區三月路19號,(04)25562384
86,大甲分局后里分駐所,10019,66000150,后里區,臺中市后里區公安路88號,(04)25562037
87,大甲分局義里派出所,10019,66000150,后里區,臺中市后里區三豐路209號,(04)25562333
88,大甲分局泰安派出所,10019,66000150,后里區,臺中市后里區安眉路1號,(04)25562340
89,清水分局,10019,66000120,清水區,臺中市清水區鰲峰路23號,(04)26222022
90,清水分局警備隊,10019,66000120,清水區,臺中市清水區鰲峰路27號,(04)26223740
91,清水分局清水派出所,10019,66000120,清水區,臺中市清水區鰲峰路23號,(04)26222054
92,清水分局三田派出所,10019,66000120,清水區,臺中市清水區中山路559號,(04)26222146
93,清水分局大秀派出所,10019,66000120,清水區,臺中市清水區五權路438號,(04)26265404
94,清水分局高美派出所,10019,66000120,清水區,臺中市清水區護岸路29號,(04)26275672
95,清水分局大楊派出所,10019,66000120,清水區,臺中市清水區神清路46號,(04)26202409
96,清水分局梧棲分駐所,10019,66000140,梧棲區,臺中市梧棲區中興路210號,(04)26562860
97,清水分局安寧派出所,10019,66000140,梧棲區,臺中市梧棲區中棲路2段18號,(04)26560343
98,清水分局沙鹿分駐所,10019,66000130,沙鹿區,臺中市沙鹿區鎮政路12號,(04)26625032
99,清水分局明秀派出所,10019,66000130,沙鹿區,臺中市沙鹿區鎮南路1段450號,(04)26314309
100,清水分局光華派出所,10019,66000130,沙鹿區,臺中市沙鹿區光華路387號,(04)26630624
101,清水分局清泉派出所,10019,66000130,沙鹿區,臺中市沙鹿區中清路2-39號,(04)26153884
102,烏日分局,10019,66000230,烏日區,臺中市烏日區中山路3段309號,(04)23369595
103,烏日分局烏日派出所,10019,66000230,烏日區,臺中市烏日區中山路2段309號,(04)23381448
104,烏日分局三和派出所,10019,66000230,烏日區,臺中市烏日區三榮8路25號,(04)23388011
105,烏日分局五光派出所,10019,66000230,烏日區,臺中市烏日區五光路281號,(04)23381960
106,烏日分局溪南派出所,10019,66000230,烏日區,臺中市烏日區溪南路2段638號,(04)23351676
107,烏日分局龍井分駐所,10019,66000250,龍井區,臺中市龍井區沙田路4段245號,(04)26353054
108,烏日分局龍津派出所,10019,66000250,龍井區,臺中市烏日區中央路1段165巷36號,(04)26396084
109,烏日分局龍東派出所,10019,66000250,龍井區,臺中市龍井區茄投路67號,(04)26397043
110,烏日分局麗水派出所,10019,66000250,龍井區,臺中市龍井區臨港東路2段317號,(04)26395994
111,烏日分局犁份派出所,10019,66000250,龍井區,臺中市龍井區遊園南路194號,(04)26312719
112,烏日分局追分派出所,10019,66000240,大肚區,臺中市大肚區沙田路1段290號,(04)26932108
113,烏日分局大肚分駐所,10019,66000240,大肚區,臺中市大肚區沙田路3段38號,(04)26992167
114,烏日分局瑞井派出所,10019,66000240,大肚區,臺中市大肚區遊園路1段1-1號,(04)26910205
115,霧峰分局,10019,66000260,霧峰區,臺中市霧峰區吉峰村13鄰中正路1236號,(04)23302139
116,霧峰分局大里分駐所,10019,66000280,大里區,臺中市大里區新興路5號,(04)24060634
117,霧峰分局霧峰派出所,10019,66000260,霧峰區,臺中市霧峰區民權路37號,(04)23393013
118,霧峰分局吉峰派出所,10019,66000260,霧峰區,臺中市霧峰區中正路1236號,(04)23334342
119,霧峰分局萬豐派出所,10019,66000260,霧峰區,臺中市霧峰區中正路161號,(04)23302873
120,霧峰分局成功派出所,10019,66000280,大里區,臺中市大里區成功路9號,(04)24969293
121,霧峰分局仁化派出所,10019,66000280,大里區,臺中市大里區仁化路198號,(04)24952010
122,霧峰分局國光派出所,10019,66000280,大里區,臺中市大里區永大街5號,(04)24180232
123,霧峰分局內新派出所,10019,66000280,大里區,臺中市大里區中興路2段598號,(04)24875584
124,霧峰分局19甲派出所,10019,66000280,大里區,臺中市大里區立元路115號,(04)22706613
125,霧峰分局四德派出所,10019,66000260,霧峰區,臺中市霧峰區四德路541號,(04)23398281
126,太平分局,10019,66000270,太平區,臺中市太平區中山路1段215號,(04)23938100
127,太平分局太平派出所,10019,66000270,太平區,臺中市太平區中興東路21號,(04)22780418
128,太平分局新平派出所,10019,66000270,太平區,臺中市太平區新高里中山路四段2號,(04)23912446
129,太平分局坪林派出所,10019,66000270,太平區,臺中市太平區中山路1段215號,(04)23937396
130,太平分局宏龍派出所,10019,66000270,太平區,臺中市太平區光興路900號,(04)22702700
131,太平分局頭汴派出所,10019,66000270,太平區,臺中市太平區長龍路2段11巷2號,(04)22704962
132,東勢分局,10019,66000100,東勢區,臺中市東勢區豐勢路512號,(04)23302139
133,東勢分局東勢派出所,10019,66000100,東勢區,臺中市東勢區豐勢路512號,(04)25883802
134,東勢分局茅埔派出所,10019,66000100,東勢區,臺中市東勢區下新里下城街36號,(04)25852472
135,東勢分局中坑派出所,10019,66000100,東勢區,臺中市東勢區東坑路665號,(04)25874474
136,東勢分局石城派出所,10019,66000100,東勢區,臺中市東勢區石城街297號,(04)25874473
137,東勢分局石岡分駐所,10019,66000200,石岡區,臺中市石岡區豐勢路1021號,(04)25722781
138,東勢分局土牛派出所,10019,66000200,石岡區,臺中市石岡區豐勢路19號,(04)25817493
139,東勢分局新社分駐所,10019,66000190,新社區,臺中市新社區興社街2段28之3號,(04)25811401
140,東勢分局永源派出所,10019,66000190,新社區,臺中市新社區中和街1段20號,(04)25811475
141,東勢分局東興派出所,10019,66000190,新社區,臺中市新社區興社街1段285號,(04)25811476
142,東勢分局福中派出所,10019,66000190,新社區,臺中市新社區美林45號,(04)25941364
143,和平分局,10019,66000290,和平區,臺中市和平區東關路3段154號,(04)25942560
144,和平分局和平派出所,10019,66000290,和平區,臺中市和平區東關路3段270號,(04)25941324
145,和平分局天輪派出所,10019,66000290,和平區,臺中市和平區東關路2段33號,(04)25941193
146,和平分局谷關派出所,10019,66000290,和平區,臺中市和平區東關路1段125號,(04)25951114
147,和平分局雙崎派出所,10019,66000290,和平區,臺中市和平區東崎路2段39號,(04)25911214
148,和平分局竹林派出所,10019,66000290,和平區,臺中市和平區東崎路1段89號,(04)25911114
149,和平分局桃山派出所,10019,66000290,和平區,臺中市和平區東崎路1段桃山巷7-2號,(04)25911314
150,和平分局梨山分駐所,10019,66000290,和平區,臺中市和平區中正路103號,(04)25989580
151,和平分局德基派出所,10019,66000290,和平區,臺中市和平區和平路2段16-1號,(04)25980439
152,和平分局松茂派出所,10019,66000290,和平區,臺中市和平區中興路2段54號,(04)25989692
153,和平分局環山派出所,10019,66000290,和平區,臺中市和平區中興路3段48號,(04)25802242
154,和平分局志良派出所,10019,66000290,和平區,臺中市和平區中興路2段47號,(04)25901040
155,和平分局勝光派出所,10019,66000290,和平區,臺中市和平區中興路1段21號,(04)25901004
156,和平分局大棟派出所,10019,66000290,和平區,臺中市和平區雪山路2號,(04)25971106
157,和平分局雪山派出所,10019,66000290,和平區,臺中市和平區雪山路10號,(04)25883514
